Year,Team,Owner,Rank,Wins,Losses,Ties
2017,Austin CurryBrons,Unknown,3,10,9,0
2017,Baton Rouge Beasts,Unknown,10,7,12,0
2017,Joe Biden Would Cross You Over,Unknown,2,15,4,0
2017,Lilongwe 327,Unknown,1,15,4,0
2017,Mwambo Rd TIBA,Unknown,8,6,13,0
2017,Team Carter,Unknown,6,9,10,0
2017,Team Nye,Unknown,7,9,10,0
2017,The Penthouse Panda Bear,Jeremy,4,9,10,0
2017,UTEP 2 Steps,Unknown,5,8,11,0
2017,Utah Bootleggers,Unknown,9,7,12,0
2018,Austin CurryBrons,Unknown,1,16,4,0
2018,Baton Rouge Beasts,Unknown,8,6,14,0
2018,Joe Biden Would Cross You Over,Unknown,12,7,13,0
2018,Lilongwe 327,Unknown,3,14,6,0
2018,Mwambo Rd TIBA,Unknown,11,5,15,0
2018,Team Carter,Unknown,2,18,2,0
2018,Team Davidai,Unknown,10,8,12,0
2018,Team Reddy,Unknown,5,11,9,0
2018,Teh Mehs,Unknown,4,12,8,0
2018,The Penthouse Panda Bear,Jeremy,7,11,9,0
2018,UTEP 2 Steps,Unknown,6,10,10,0
2018,Utah Bootleggers,Unknown,9,2,18,0
2019,Ari 471,Unknown,7,7,13,0
2019,Austin CurryBrons,Unknown,8,12,8,0
2019,Baton Rouge Beasts,Unknown,11,6,14,0
2019,Beto Would Cross You Over,Unknown,6,11,9,0
2019,Bull City Bangers,Unknown,10,10,10,0
2019,Im Trying Jennifer,Unknown,2,16,4,0
2019,Mwambo Rd TIBA,Unknown,5,11,9,0
2019,Team Carter,Unknown,4,12,8,0
2019,Teh Mehs,Unknown,9,6,14,0
2019,The Penthouse Panda Bear,Jeremy,3,14,6,0
2019,UTEP 2 Steps,Unknown,12,1,19,0
2019,Utah Bootleggers,Unknown,1,14,6,0
2020,Ari 471,Unknown,3,13,6,1
2020,Austin Football Team,Unknown,10,5,14,1
2020,Baton Rouge Beasts,Unknown,5,9,10,1
2020,Bull City Bangers,Unknown,7,9,10,1
2020,Im Trying Jennifer,Unknown,9,8,11,1
2020,JMapps Stepover,Unknown,1,18,1,1
2020,Kawhis Laugh,Unknown,11,6,13,1
2020,Mwambo Rd TIBA,Unknown,6,9,10,1
2020,Team Carter,Unknown,4,13,6,1
2020,The Penthouse Panda Bear,Jeremy,2,14,5,1
2020,Uncanny Logo,Unknown,8,7,12,1
2020,Utah Bootleggers,Unknown,12,3,16,1
2021,Ari 471,Unknown,3,11,5,0
2021,Austin Football Team,Unknown,1,10,6,0
2021,Baton Rouge Beasts,Unknown,5,5,11,0
2021,Im Trying Jennifer,Unknown,7,9,7,0
2021,Kawhis Laugh,Unknown,10,3,13,0
2021,Mapp Stepback,Unknown,2,10,6,0
2021,Nowitzkis Fadeaway,Unknown,8,3,13,0
2021,Team Carter,Unknown,9,9,7,0
2021,The Penthouse Panda Bear,Jeremy,6,9,7,0
2021,Utah Bootleggers,Unknown,4,11,5,0
2022,Ari 471,Unknown,6,10,9,0
2022,Austin Football Team,Unknown,2,11,8,0
2022,Baton Rouge Beasts,Unknown,3,11,8,0
2022,Im Trying Jennifer,Unknown,5,10,9,0
2022,Kawhis Laugh,Unknown,10,6,13,0
2022,Mapp Stepback,Unknown,8,5,14,0
2022,Nowitzkis Fadeaway,Unknown,9,7,12,0
2022,Team Carter,Unknown,4,11,8,0
2022,The Penthouse Panda Bear,Jeremy,1,14,5,0
2022,Utah Bootleggers,Unknown,7,10,9,0
2023,Ari 471,Unknown,6,6,14,0
2023,Austin Football Team,Unknown,2,12,7,1
2023,Baton Rouge Beasts,Unknown,1,15,5,0
2023,Bull City Bums,Unknown,8,3,16,1
2023,Im Trying Jennifer,Unknown,4,14,6,0
2023,Miami Mambas,Unknown,5,9,11,0
2023,Nowitzkis Fadeaway,Unknown,3,16,4,0
2023,Team Carter,Unknown,9,5,15,0
2023,The Penthouse Panda Bear,Jeremy,7,12,8,0
2023,Utah Bootleggers,Unknown,10,7,13,0
2024,Austin Football Team,Unknown,2,14,4,0
2024,Baton Rouge Beasts,Unknown,3,10,8,0
2024,Bull City Bums,Unknown,4,11,7,0
2024,Fly Nye Guy,Unknown,6,8,10,0
2024,Im Trying Jennifer,Unknown,7,6,12,0
2024,Miami Mambas,Unknown,10,4,14,0
2024,Nowitzkis Fadeaway,Unknown,9,7,11,0
2024,The Penthouse Panda Bear,Jeremy,8,10,8,0
2024,Toso Viti Toso,Unknown,1,11,7,0
2024,Utah Bootleggers,Unknown,5,9,9,0
2025,Austin Football Team,Unknown,3,16,3,0
2025,Baton Rouge Beasts,Unknown,10,7,12,0
2025,Bull City Bums,Unknown,9,4,15,0
2025,Fly Nye Guy,Unknown,6,11,8,0
2025,Im Trying Jennifer,Unknown,5,8,11,0
2025,Miami Mambas,Unknown,7,2,17,0
2025,Nowitzkis Fadeaway,Unknown,8,10,9,0
2025,The Penthouse Panda Bear,Jeremy,2,14,5,0
2025,Toso Viti Toso,Unknown,4,12,7,0
2025,Utah Bootleggers,Unknown,1,11,8,0
