Owner,Seasons_Played,Total_Games,Total_Wins,Total_Losses,Total_Ties,Win_Percentage,Average_Rank,Championships,Finals,Playoffs
Jeremy,9,171,107,63,1,0.626,4.4,1,3,5
Ryan,9,171,106,63,2,0.62,3.6,2,5,7
Ben,9,171,99,71,1,0.579,3.8,2,2,6
Matt,7,134,77,56,1,0.575,5.4,0,1,4
Susheel,8,152,82,69,1,0.539,5.5,0,1,2
Samuel,3,56,28,28,0,0.5,6.3,0,0,0
John,9,171,81,89,1,0.474,5.9,1,3,3
Jonathan,2,40,18,22,0,0.45,6.5,0,0,1
Alex,6,112,50,61,1,0.446,7.5,0,0,1
Tony,9,171,76,94,1,0.444,6.2,1,1,3
Trafton,9,171,74,96,1,0.433,6.4,2,2,3
Nadav,1,20,8,12,0,0.4,10.0,0,0,0
Davide,4,79,31,47,1,0.392,7.5,0,0,0
Nick,5,97,37,58,2,0.381,7.6,0,0,1
Jon,3,59,19,40,0,0.322,7.7,0,0,0
Chris,3,55,15,39,1,0.273,10.3,0,0,0
