Year,Team,Rank,Wins,Losses,Ties
2017,Austin CurryBrons,3,10,9,0
2017,Baton Rouge Beasts,10,7,12,0
2017,Joe Biden Would Cross You Over,2,15,4,0
2017,Lilongwe 327,1,15,4,0
2017,Mwambo Rd TIBA,8,6,13,0
2017,Team Carter,6,9,10,0
2017,Team Nye,7,9,10,0
2017,The Penthouse Panda Bear,4,9,10,0
2017,UTEP 2 Steps,5,8,11,0
2017,Utah Bootleggers,9,7,12,0
2018,Austin CurryBrons,1,16,4,0
2018,Baton Rouge Beasts,8,6,14,0
2018,Joe Biden Would Cross You Over,12,7,13,0
2018,Lilongwe 327,3,14,6,0
2018,Mwambo Rd TIBA,11,5,15,0
2018,Team Carter,2,18,2,0
2018,Team Davidai,10,8,12,0
2018,Team Reddy,5,11,9,0
2018,Teh Mehs,4,12,8,0
2018,The Penthouse Panda Bear,7,11,9,0
2018,UTEP 2 Steps,6,10,10,0
2018,Utah Bootleggers,9,2,18,0
2019,Ari 471,7,7,13,0
2019,Austin CurryBrons,8,12,8,0
2019,Baton Rouge Beasts,11,6,14,0
2019,Beto Would Cross You Over,6,11,9,0
2019,Bull City Bangers,10,10,10,0
2019,Im Trying Jennifer,2,16,4,0
2019,Mwambo Rd TIBA,5,11,9,0
2019,Team Carter,4,12,8,0
2019,Teh Mehs,9,6,14,0
2019,The Penthouse Panda Bear,3,14,6,0
2019,UTEP 2 Steps,12,1,19,0
2019,Utah Bootleggers,1,14,6,0
2020,Ari 471,3,13,6,1
2020,Austin Football Team,10,5,14,1
2020,Baton Rouge Beasts,5,9,10,1
2020,Bull City Bangers,7,9,10,1
2020,Im Trying Jennifer,9,8,11,1
2020,JMapps Stepover,1,18,1,1
2020,Kawhis Laugh,11,6,13,1
2020,Mwambo Rd TIBA,6,9,10,1
2020,Team Carter,4,13,6,1
2020,The Penthouse Panda Bear,2,14,5,1
2020,Uncanny Logo,8,7,12,1
2020,Utah Bootleggers,12,3,16,1
2021,Ari 471,3,11,5,0
2021,Austin Football Team,1,10,6,0
2021,Baton Rouge Beasts,5,5,11,0
2021,Im Trying Jennifer,7,9,7,0
2021,Kawhis Laugh,10,3,13,0
2021,Mapp Stepback,2,10,6,0
2021,Nowitzkis Fadeaway,8,3,13,0
2021,Team Carter,9,9,7,0
2021,The Penthouse Panda Bear,6,9,7,0
2021,Utah Bootleggers,4,11,5,0
2022,Ari 471,6,10,9,0
2022,Austin Football Team,2,11,8,0
2022,Baton Rouge Beasts,3,11,8,0
2022,Im Trying Jennifer,5,10,9,0
2022,Kawhis Laugh,10,6,13,0
2022,Mapp Stepback,8,5,14,0
2022,Nowitzkis Fadeaway,9,7,12,0
2022,Team Carter,4,11,8,0
2022,The Penthouse Panda Bear,1,14,5,0
2022,Utah Bootleggers,7,10,9,0
2023,Ari 471,6,6,14,0
2023,Austin Football Team,2,12,7,1
2023,Baton Rouge Beasts,1,15,5,0
2023,Bull City Bums,8,3,16,1
2023,Im Trying Jennifer,4,14,6,0
2023,Miami Mambas,5,9,11,0
2023,Nowitzkis Fadeaway,3,16,4,0
2023,Team Carter,9,5,15,0
2023,The Penthouse Panda Bear,7,12,8,0
2023,Utah Bootleggers,10,7,13,0
2024,Austin Football Team,2,14,4,0
2024,Baton Rouge Beasts,3,10,8,0
2024,Bull City Bums,4,11,7,0
2024,Fly Nye Guy,6,8,10,0
2024,Im Trying Jennifer,7,6,12,0
2024,Miami Mambas,10,4,14,0
2024,Nowitzkis Fadeaway,9,7,11,0
2024,The Penthouse Panda Bear,8,10,8,0
2024,Toso Viti Toso,1,11,7,0
2024,Utah Bootleggers,5,9,9,0
2025,Austin Football Team,3,16,3,0
2025,Baton Rouge Beasts,10,7,12,0
2025,Bull City Bums,9,4,15,0
2025,Fly Nye Guy,6,11,8,0
2025,Im Trying Jennifer,5,8,11,0
2025,Miami Mambas,7,2,17,0
2025,Nowitzkis Fadeaway,8,10,9,0
2025,The Penthouse Panda Bear,2,14,5,0
2025,Toso Viti Toso,4,12,7,0
2025,Utah Bootleggers,1,11,8,0
