Year,Team,Wins,Losses,Ties
2017,Austin CurryBrons,10,9,0
2017,Baton Rouge Beasts,7,12,0
2017,Joe Biden Would Cross You Over,15,4,0
2017,Lilongwe 327,15,4,0
2017,Mwambo Rd.  TIBA,6,13,0
2017,Team Carter,9,10,0
2017,Team Nye,9,10,0
2017,The Penthouse Panda Bear,9,10,0
2017,UTEP 2 Steps,8,11,0
2017,Utah Bootleggers,7,12,0
2018,Austin CurryBrons,16,4,0
2018,Baton Rouge Beasts,6,14,0
2018,Joe Biden Would Cross You Over,7,13,0
2018,Lilongwe 327,14,6,0
2018,Mwambo Rd.  TIBA,5,15,0
2018,Team Carter,18,2,0
2018,Team Davidai,8,12,0
2018,Team Reddy,11,9,0
2018,Teh Mehs,12,8,0
2018,The Penthouse Panda Bear,11,9,0
2018,UTEP 2 Steps,10,10,0
2018,Utah Bootleggers,2,18,0
2019,Ari 47/1,7,13,0
2019,Austin CurryBrons,12,8,0
2019,Baton Rouge Beasts,6,14,0
2019,Beto Would Cross You Over,11,9,0
2019,Bull City Bangers,10,10,0
2019,I’m Trying Jennifer,16,4,0
2019,Mwambo Rd.  TIBA,11,9,0
2019,Team Carter,12,8,0
2019,Teh Mehs,6,14,0
2019,The Penthouse Panda Bear,14,6,0
2019,UTEP 2 Steps,1,19,0
2019,Utah Bootleggers,14,6,0
2020,Ari 47/1,13,6,1
2020,Austin Football Team,5,14,1
2020,Baton Rouge Beasts,9,10,1
2020,Bull City Bangers,9,10,1
2020,I’m Trying Jennifer,8,11,1
2020,J.Mapp's Stepover,18,1,1
2020,Kawhi's  Laugh,6,13,1
2020,Mwambo Rd.  TIBA,9,10,1
2020,Team Carter,13,6,1
2020,The Penthouse Panda Bear,14,5,1
2020,Uncanny Logo,7,12,1
2020,Utah Bootleggers,3,16,1
2021,Ari 47/1,11,5,0
2021,Austin Football Team,10,6,0
2021,Baton Rouge Beasts,5,11,0
2021,I’m Trying Jennifer,9,7,0
2021,Kawhi's  Laugh,3,13,0
2021,Mapp Stepback,10,6,0
2021,Nowitzki's Fadeaway,3,13,0
2021,Team Carter,9,7,0
2021,The Penthouse Panda Bear,9,7,0
2021,Utah Bootleggers,11,5,0
2022,Ari 47/1,10,9,0
2022,Austin Football Team,11,8,0
2022,Baton Rouge Beasts,11,8,0
2022,I’m Trying Jennifer,10,9,0
2022,Kawhi's  Laugh,6,13,0
2022,Mapp Stepback,5,14,0
2022,Nowitzki's Fadeaway,7,12,0
2022,Team Carter,11,8,0
2022,The Penthouse Panda Bear,14,5,0
2022,Utah Bootleggers,10,9,0
2023,Ari 47/1,6,14,0
2023,Austin Football Team,12,7,1
2023,Baton Rouge Beasts,15,5,0
2023,Bull City Bums,3,16,1
2023,I’m Trying Jennifer,14,6,0
2023,Miami Mambas,9,11,0
2023,Nowitzki's Fadeaway,16,4,0
2023,Team Carter,5,15,0
2023,The Penthouse Panda Bear,12,8,0
2023,Utah Bootleggers,7,13,0
2024,Austin Football Team,14,4,0
2024,Baton Rouge Beasts,10,8,0
2024,Bull City Bums,11,7,0
2024,Fly Nye Guy,8,10,0
2024,I’m Trying Jennifer,6,12,0
2024,Miami Mambas,4,14,0
2024,Nowitzki's Fadeaway,7,11,0
2024,The Penthouse Panda Bear,10,8,0
2024,Toso Viti Toso,11,7,0
2024,Utah Bootleggers,9,9,0
2025,Austin Football Team,16,3,0
2025,Baton Rouge Beasts,7,12,0
2025,Bull City Bums,4,15,0
2025,Fly Nye Guy,11,8,0
2025,I’m Trying Jennifer,8,11,0
2025,Miami Mambas,2,17,0
2025,Nowitzki's Fadeaway,10,9,0
2025,The Penthouse Panda Bear,14,5,0
2025,Toso Viti Toso,12,7,0
2025,Utah Bootleggers,11,8,0
